name,종별코드명,doctors,lon,lat
21세기하나내과의원,의원,8,126.419575,34.803998
247외과의원,의원,1,127.0256122,37.5045463
24까페거리의원,의원,1,127.1107943,37.3207183
24시열린의원,의원,3,126.889819,37.5793419
24시열린의원,의원,6,126.8715493,37.5275117
24시열린의원,의원,2,127.0877638,37.5047372
24시열린의원,의원,4,127.0709719,37.5386303
24인치의원,의원,1,,
365 속시원한 가정의학과 의원,의원,1,126.8591248,37.309605
365 연합의원,의원,1,126.9840604,35.9640936
365mc모인이비인후과의원,의원,1,127.0887031,37.5808378
365mc의원,의원,2,127.032195,37.2637736
365MC의원,의원,1,127.1416566,37.6016252
365MC의원,의원,2,127.1246123,37.3855126
365MC의원,의원,3,127.0613426,37.6530591
365강서수요양병원,요양병원,4,126.8077064,37.5729765
365건강한부곡의원,의원,1,126.9508887,37.3207697
365검단열린의원,의원,1,126.6402168,37.5965935
365경대연합내과의원,의원,3,128.6175544,35.8544871
365광장속내과의원,의원,4,128.7072458,35.8394895
365굿닥터의원,의원,4,127.1918814,37.562532
365굿이브닝의원,의원,2,126.8648096,35.2068563
365그린가족의원,의원,2,127.0755031,37.0229222
365그린의원,의원,2,127.3890959,36.3594201
365내과연합의원,의원,3,126.738057,37.5447518
365내과의원,의원,1,127.0710165,37.2520638
365늘봄메디칼의원,의원,5,126.9403468,37.3255101
365늘속편한내과의원,의원,3,128.5642443,35.9437408
365늘속편한내과의원,의원,2,129.3447662,36.0067987
365늘속편한내과의원,의원,2,128.3993881,35.9956289
365다나아가정의학과의원,의원,1,127.4688909,36.6114837
365다봄의원,의원,1,126.9307263,37.396787
365다움의원,의원,6,127.0384812,37.5614086
365대연더편한마취통증의학과의원,의원,2,129.0920138,35.1361106
365대전힐링의원,의원,2,127.4359442,36.3557248
365더잘봄정형외과의원,의원,1,,
365더튼튼의원,의원,1,126.8423266,37.4956425
365도담의원,의원,1,,
365드림아이의원,의원,1,129.3803682,36.063902
365드림의원,의원,2,126.810717,37.336609
365드림의원,의원,2,127.26021,37.4097399
365류내과의원,의원,1,129.0696485,35.1713977
365류마고내과의원,의원,3,127.0961608,37.5367888
365리셋의원,의원,2,127.0317363,37.2624368
365마디팔팔의원,의원,2,126.7168326,37.5947223
365맑은성모의원,의원,1,126.8172191,37.6257722
365매일열린의원,의원,1,126.6251821,37.6465636
365메디의원,의원,2,127.0181088,37.6251172
365메트로의원,의원,1,127.0216578,37.5111988
365문정사랑의원,의원,1,127.1273724,37.486776
365미소내과의원,의원,2,126.9771081,37.4768791
365바른정형외과의원,의원,1,126.9395881,37.4863545
365밝은안과의원,의원,6,126.9299316,37.4854726
365백세드림정형외과의원,의원,1,126.8976191,37.4704251
365벗이비인후과의원,의원,1,126.7629648,37.5052828
365별소아청소년과의원,의원,1,126.6726009,37.5184643
365병원,병원,11,128.5794429,35.2336646
365봄연합의원,의원,2,126.847971,37.5642277
365봄이비인후과의원,의원,1,127.0194894,37.6072048
365사직성모의원,의원,1,129.0609901,35.1965299
365삼성i소아청소년과의원,의원,3,126.7339335,37.7276519
365삼성의원,의원,2,127.0522146,37.4964821
365상쾌한속연합내과의원,의원,2,128.5087056,35.8550091
365서울가정의학과의원,의원,2,126.7129077,37.3642786
365서울내과의원,의원,1,127.2478975,37.6602296
365서울소아청소년과의원,의원,1,126.8311658,37.6329132
365서울연합의원,의원,1,127.103649,37.600664
365성모가정의학과의원,의원,1,127.7486855,37.8820972
365소사벌종합의원,의원,1,127.1034104,37.0052676
365소아청소년과의원,의원,1,127.6367077,37.2948991
365소아청소년과의원,의원,2,126.6683697,37.6439449
365소아청소년과의원,의원,1,129.4281043,35.4994135
365수원튼튼의원,의원,2,127.0241612,37.2596587
365스마트의원,의원,2,126.9823913,37.2961344
365스마트의원,의원,1,127.4546898,37.2746581
365아산원탑마취통증의학과재활의학과의원,의원,4,127.0960556,37.5406138
365아이랑소아청소년과의원,의원,2,127.0811241,37.2673389
365아이맘의원,의원,1,126.6508869,37.4471449
365앨리스의원,의원,1,126.6782791,37.5204514
365에스와이(SY)서울연세이비인후과의원,의원,1,127.1240452,37.3858444
365엠씨(mc)병원,병원,15,127.0141365,37.4929843
365엠씨(mc)의원,의원,2,127.1267751,37.5372304
365엠씨(MC)의원,의원,2,126.9548145,37.3919353
365엠씨(MC)의원,의원,2,126.7763597,37.5040902
365엠씨(MC)의원,의원,2,127.4269132,36.6423374
365엠씨람스에스씨의원,의원,1,129.1320258,35.1671978
365엠씨람스의원,의원,4,126.9066713,37.5169662
365엠씨병원,병원,9,129.0581339,35.1570677
365엠씨의원,의원,3,126.9356823,37.5551837
365엠씨의원,의원,1,127.0161781,37.5929696
365엠씨의원,의원,1,126.773416,37.6584064
365엠씨의원,의원,2,127.1087327,36.8147888
365엠씨의원,의원,5,127.0215419,37.5166051
365역촌으뜸본재활의학과의원,의원,1,,
365연세의원,의원,1,127.0247865,37.5665508
365연세홈닥터의원,의원,1,127.4396741,36.3658722
365연합소아청소년과의원,의원,1,128.839145,35.2340214
365연합의원,의원,1,127.0573059,37.0520932
365연합의원,의원,2,127.6632306,34.7656587
365열린가정의원,의원,1,126.9359259,35.1631317
365열린가정의학과의원,의원,1,127.0547242,37.4973826
365열린가정의학과의원,의원,1,127.4293132,36.6358471
365열린내과의원,의원,3,127.0704701,37.6375651
365열린메디칼의원,의원,6,126.9526872,37.2734821
365열린메디컬의원,의원,1,127.1380234,36.8283783
365열린연합의원,의원,1,127.3410279,36.3000323
365열린연합의원,의원,1,127.2340604,36.50531
365열린우리의원,의원,1,128.5564844,35.8367982
365열린의원,의원,1,126.891572,37.5260659
365열린의원,의원,1,127.1249414,37.5406109
365열린의원,의원,1,126.880444,37.416679
365열린의원,의원,1,126.986949,37.2528528
365열린의원,의원,1,126.8581603,37.3352917
365열린의원,의원,1,126.5946643,34.5660779
365열린종합내과의원,의원,1,128.5460481,35.8248838
365온(ON)가정의원,의원,1,127.0246475,37.5646232
365온메디의원,의원,3,126.73095,37.5434877
365용인바른의원,의원,2,127.2193722,37.2439795
365우리신경외과의원,의원,1,127.1165641,37.6310929
365우리의원,의원,1,127.5879441,36.7880422
365웰니스의원,의원,2,127.1264606,36.7939998
365웰정형외과의원,의원,1,127.1370449,37.5274745
365웰정형외과재활의학과의원,의원,4,127.1202843,37.5066223
365위례연세내과의원,의원,2,127.1501737,37.4734999
365의원,의원,1,126.7623512,37.5024289
365이지힐링의원,의원,1,126.8452128,37.3764448
365이화웃는세상의원,의원,1,126.9182748,37.6394039
365일건강가정의학과의원,의원,1,129.0487995,35.1402929
365잘봄내과의원,의원,3,127.2043444,37.5379661
365장곡편한내과의원,의원,2,126.7892983,37.3788623
365장편한호내과의원,의원,1,126.8633704,37.2972191
365제이에스JS소아청소년과의원,의원,2,126.8090412,37.3688669
365제주의원,의원,2,126.5288526,33.5003235
365종합의원,의원,2,127.0727361,37.1367571
365창원다나은마취통증의학과의원,의원,4,128.6853326,35.2237405
365최재혁가정의학과의원,의원,1,127.3500451,36.3048047
365코이의원,의원,1,127.0247472,37.5063094
365키즈소아청소년과의원,의원,7,126.9775824,37.3900559
365탁정형외과의원,의원,1,126.7282414,37.367171
365텐텐이비인후과의원,의원,3,128.9182894,35.0985301
365튼튼의원,의원,1,126.7096782,37.3590332
365편한내과의원,의원,1,126.9466528,37.3531954
365프렌즈내과의원,의원,1,127.15011,37.4730816
365플러스내과의원,의원,12,127.1952766,37.5634046
365플러스내과의원,의원,3,126.5143323,33.2477
365플러스의원,의원,1,126.8142918,37.4848729
365플러스이비인후과의원,의원,1,127.1146681,37.3207124
365하하병원,병원,7,128.9032539,35.0811721
365한국신통의원,의원,1,127.0830051,37.568676
365한숲가정의학과의원,의원,1,127.1700465,37.1528184
365항외과의원,의원,2,127.0250751,37.6378733
365행복담은의원,의원,1,129.1086027,35.1390857
365호계내과의원,의원,2,129.35135,35.6276481
